URLs,Headline,Label
"http://www.bbc.com/news/world-us-canada-41419190
",Four ways Bob Corker skewered Donald Trump,1
"https://www.reuters.com/article/us-filmfestival-london-lastflagflying/linklaters-war-veteran-comedy-speaks-to-modern-america-says-star-idUSKBN1CD0X2
","Linklater's war veteran comedy speaks to modern America, says star",1
"https://www.nytimes.com/2017/10/09/us/politics/corkers-blast-at-trump-has-other-republicans-nodding-in-agreement.html?rref=collection%2Fsectioncollection%2Fpolitics
",Trump’s Fight With Corker Jeopardizes His Legislative Agenda,1
"https://www.reuters.com/article/us-mexico-oil-cardenas/egypts-cheiron-wins-tie-up-with-pemex-for-mexican-onshore-oil-field-idUSKBN1C92EU
",Egypt's Cheiron wins tie-up with Pemex for Mexican onshore oil field,1
"http://www.cnn.com/videos/cnnmoney/2017/10/08/snl-jason-aldean-las-vegas-tom-petty-orig.cnn/video/playlists/cant-miss/
",Jason Aldean opens 'SNL' with Vegas tribute,1
"http://beforeitsnews.com/sports/2017/09/jetnation-fanduel-league-week-4-2701323.html

",JetNation FanDuel League; Week 4,0
"https://www.nytimes.com/2017/10/10/us/politics/kansas-tried-a-tax-plan-similar-to-trumps-it-failed.html?rref=collection%2Fsectioncollection%2Fpolitics
",Kansas Tried a Tax Plan Similar to Trump’s. It Failed.,1
"https://www.reuters.com/article/us-india-cenbank-patel/india-rbi-chief-growth-important-but-not-at-cost-of-inflation-newspaper-idUSKBN1CE09J
","India RBI chief: growth important, but not at cost of inflation - newspaper",1
"https://www.reuters.com/article/us-climatechange-usa-epa/u-s-epa-chief-says-to-sign-proposed-rule-on-clean-power-plan-withdrawal-on-tuesday-idUSKBN1CE1RV
",EPA chief to sign rule on Clean Power Plan exit on Tuesday,1
"https://www.reuters.com/article/us-air-berlin-easyjet/talks-on-sale-of-air-berlin-planes-to-easyjet-at-risk-of-collapse-report-idUSKBN1CD0YW
",Talks on sale of Air Berlin planes to easyJet at risk of collapse: report,1
"https://www.activistpost.com/2017/09/u-s-president-donald-trump-quietly-signs-law-allow-warrant-less-searches-parts-va-dc-md.html
","U.S. President Donald Trump Quietly Signs Law To Allow Warrantless Searches In Parts Of VA, DC and MD",0
"http://beforeitsnews.com/sports/2017/10/2017-fantasy-football-team-defense-rankings-week-5-2701900.html

",2017 Fantasy Football Team Defense Rankings - Week 5,0
"http://beforeitsnews.com/sports/2017/09/just-shut-up-play-some-damn-baseball-2701059.html
",Just Shut Up & Play Some Damn Baseball!!,0
"https://www.reuters.com/article/us-deloitte-cyber/deloitte-cyber-attack-affected-up-to-350-clients-guardian-idUSKBN1CF29M
",Deloitte cyber attack affected up to 350 clients: Guardian,1
"http://beforeitsnews.com/sports/2017/10/107-chuck-axed-hbd-brickyard-adam-moonlight-ace-chuck-as-season-finales-2702154.html
","10/7: Chuck Axed; HBD Brickyard, Adam, Moonlight Ace & Chuck; AS; Season Finales...",0
https://www.nytimes.com/2017/10/04/us/las-vegas-shooting.html,Gunman’s Girlfriend Said She Didn’t Know He Planned Harm,1
https://www.nytimes.com/2017/10/04/us/marilou-danley-stephen-paddock.html,"Marilou Danley, Gunman’s Girlfriend, Says She Was Unaware of His Plans",1
"https://www.nytimes.com/video/us/politics/100000005485677/trumps-immigration-rhetoric-echoes-90s.html?rref=collection%2Fsectioncollection%2Fpolitics
",Trump’s Immigration Rhetoric Echoes a Bitter Fight in the 90s,1
"http://beforeitsnews.com/u-s-politics/2017/10/trump-bemoans-little-appreciation-as-san-juan-mayor-begs-for-water-2537595.html
",Trump Bemoans ‘Little Appreciation’ As San Juan Mayor Begs For Water,0
"http://beforeitsnews.com/u-s-politics/2017/10/in-meeting-with-military-trump-talks-of-calm-before-the-storm-2537421.html
","In Meeting With Military, Trump Talks Of 'Calm Before The Storm'",0
"http://beforeitsnews.com/u-s-politics/2017/10/teacher-sparks-outrage-by-asking-kids-to-make-nazi-mascots-2537450.html
",Teacher Sparks Outrage By Asking Kids To Make Nazi Mascots,0
"http://beforeitsnews.com/sports/2017/09/928-through-the-40s-the-gloaming-hbd-bill-lou-cy-the-third-everett-cy-leon-buck-clarke-honoredtiny-2-hitter-2701370.html
","9/28 Through the 40s: The Gloaming; HBD Bill, Lou, Cy the Third, Everett, Cy, Leon & Buck; Clarke Honored;Tiny 2-Hitter",0
"https://www.reuters.com/article/us-people-harvey-weinstein/weinstein-co-board-ousts-harvey-weinstein-after-harassment-allegations-idUSKBN1CE00B
",Weinstein Co board ousts Harvey Weinstein after harassment allegations,1
"http://beforeitsnews.com/u-s-politics/2017/09/hillary-clinton-suggests-that-trump-may-order-the-murder-of-journalists-2536870.html
",Hillary Clinton Suggests That Trump May Order the Murder of Journalists,0
"http://beforeitsnews.com/sports/2017/09/929-through-the-40s-hbd-cannonball-paul-camnitz-clan-game-stories-2701470.html
","9/29 Through the 40s: HBD Cannonball & Paul, Camnitz Clan, Game Stories",0
"https://www.reuters.com/article/us-tennis-tianjin/sharapova-storms-into-tianjin-quarter-finals-idUSKBN1CH1H9
",Sharapova storms into Tianjin quarter-finals,1
"http://beforeitsnews.com/sports/2017/10/103-expo-park-forbes-field-era-pirates-grays-ws-win-game-stories-2701784.html
","10/3 Expo Park-Forbes Field Era: Pirates, Grays WS Win, Game Stories",0
"http://www.cnn.com/videos/us/2017/10/12/harvey-weinstein-scandal-no-surprise-kaye-pkg-ac.cnn
",Weinstein scandal no surprise to Hollywood,1
"http://beforeitsnews.com/sports/2017/09/blackhawks-roster-breakdown-goalies-2701437.html
",Blackhawks Roster Breakdown: Goalies,0
"https://www.nytimes.com/2017/10/06/sports/soccer/usmnt-panama-world-cup-qualifying.html?rref=collection%2Fsectioncollection%2Fsports
","With Christian Pulisic Driving, United States Steers Closer to World Cup",1
"http://beforeitsnews.com/sports/2017/10/cyclebar-westgate-west-hosts-benefit-cycle-ride-to-help-fragile-bone-disease-foundation-on-oct-7-2701768.html

",CycleBar Westgate West Hosts Benefit Cycle Ride to Help ‘Fragile Bone Disease’ Foundation on Oct. 7,0
"http://www.cnn.com/videos/cnnmoney/2017/10/03/late-night-kimmel-noah-colbert-meyers-las-vegas-shooting-ekr-orig.cnn/video/playlists/cant-miss/
",Kimmel gives an emotional plea to lawmakers,1
"https://www.reuters.com/article/us-britain-eu-rabobank/hard-brexit-seen-dire-for-dutch-but-far-worse-for-brits-rabobank-idUSKBN1CH0XI
",'Hard' Brexit seen dire for Dutch but far worse for Brits: Rabobank,1
"https://www.reuters.com/article/us-storm-nate/weakening-nate-brings-rain-tornado-warnings-to-u-s-south-idUSKBN1CA1DD
","Weakening Nate brings rain, tornado warnings to U.S. South",1
https://www.activistpost.com/2017/10/pa-attorney-general-concerned-equifax-cyberattack-will-us-attorneys-general-upset-utility-smart-meters-hacking.html,PA Attorney General Concerned About Equifax Cyberattack; Will U.S. Attorneys General Be Upset About Utility Smart Meters Hacking?,0
"http://www.cnn.com/2017/10/09/politics/melania-trump-ivana-trump-first-lady/index.html
",Melania Trump responds to Ivana Trump calling herself 'first lady',1
"https://www.nytimes.com/2017/10/06/us/politics/trump-sanctions-sudan.html?rref=collection%2Fsectioncollection%2Fpolitics
",Trump Administration Formally Lifts Sanctions on Sudan,1
"https://www.reuters.com/article/us-usa-puertorico-mexico/mexico-plans-aid-for-puerto-rico-after-hurricane-maria-idUSKBN1C925G
",Mexico plans aid for Puerto Rico after Hurricane Maria,1
"http://beforeitsnews.com/sports/2017/10/101-expo-park-forbes-field-era-deacon-whips-cy-in-1st-ws-game-waners-237-hits-boss-man-roberto-more-2701623.html
","10/1 Expo Park-Forbes Field Era: Deacon Whips Cy In 1st WS Game, Waner's 237 Hits, Boss Man Roberto & More",0
"http://www.bbc.com/news/world-asia-india-41578210
",Five arrested in Delhi over assault on Nigerian,1
"https://www.activistpost.com/2017/10/google-clips-automatically-identifies-everyone-including-pets.html
",Google Clips Automatically Identifies Everyone Including Your Pets,0
"http://beforeitsnews.com/sports/2017/09/2017-fantasy-football-kicker-rankings-week-4-2701252.html
",2017 Fantasy Football Kicker Rankings - Week 4,0
"http://beforeitsnews.com/sports/2017/10/a-problem-for-the-wild-card-game-sanchez-2701709.html
","A ""problem"" For The Wild Card Game & Sanchez...",0
"http://beforeitsnews.com/sports/2017/10/2017-fantasy-football-running-back-rankings-week-5-2701799.html

",2017 Fantasy Football Running Back Rankings - Week 5,0
"http://beforeitsnews.com/u-s-politics/2017/09/what-would-happen-to-you-in-the-microwave-2536907.html
",What Would Happen To You in The Microwave?,0
"http://beforeitsnews.com/sports/2017/09/ravens-vs-steelers-fridaygame-status-3-2701521.html
",Ravens vs. Steelers - Friday/Game Status,0
https://www.nytimes.com/2017/10/05/technology/personaltech/upgrading-to-a-modern-mac.html?rref=collection%2Fsectioncollection%2Fpersonaltech,Upgrading to a Modern Mac,1
"http://beforeitsnews.com/sports/2017/10/newton-laughs-at-female-reporter-after-asking-a-question-about-wr-routes-2701973.html

",Newton Laughs at Female Reporter After Asking a Question About WR Routes,0
"http://beforeitsnews.com/u-s-politics/2017/09/las-vegas-police-deny-nfls-michael-bennett-was-racially-profiled-as-video-rebuts-players-claims-2537055.html
",Las Vegas Police Deny NFL’s Michael Bennett Was Racially Profiled as Video Rebuts Player’s Claims,0
"http://www.bbc.com/sport/football/41503064
",World Cup 2018: What are England boss Gareth Southgate's big challenges?,1
"http://beforeitsnews.com/sports/2017/10/107-chuck-axed-hbd-brickyard-adam-moonlight-ace-chuck-as-season-finales-2702154.html
","10/7: Chuck Axed; HBD Brickyard, Adam, Moonlight Ace & Chuck; AS; Season Finales...",0
"https://www.reuters.com/article/us-iran-nuclear-usa-irgc/iran-has-all-options-on-table-if-u-s-blacklists-revolutionary-guards-idUSKBN1CF0R0
","Iran hardliners, pragmatists show unity in response to Trump",1
"http://beforeitsnews.com/u-s-politics/2017/09/pumpkin-spiced-white-hot-chocolate-2537063.html
",Pumpkin Spiced White Hot Chocolate,0
"https://www.activistpost.com/2017/09/duping-americans-wasting-taxpayers-money.html
",Duping Americans And Wasting Taxpayers’ Money,0
"http://beforeitsnews.com/u-s-politics/2017/10/nibiru-final-warning-just-how-long-does-earth-have-left-before-planet-x-doom-2537632.html
",Nibiru Final Warning - ‘Just How Long Does Earth Have Left Before Planet X Doom’,0
http://dailybuzzlive.com/2000-simpsons-predicted-donald-trump-presidency/,In 2000 The Simpsons Predicted The Donald Trump Presidency,0
"http://beforeitsnews.com/u-s-politics/2017/10/are-dems-late-night-sock-puppets-a-sign-that-the-fairness-doctrine-should-be-restored-2537562.html
",Are Dems’ Late-Night Sock Puppets a Sign that the Fairness Doctrine Should be Restored?,0
"http://www.bbc.com/sport/cricket/41590315
",Ben Stokes: England all-rounder loses New Balance sponsorship,1
http://beforeitsnews.com/opinion-conservative/2017/10/very-violent-reversal-before-end-of-2017-n-korea-thinks-us-is-bluffing-james-rickards-greg-hunter-video-3327266.html,"Very Violent Reversal Before End of 2017, N.Korea Thinks US is Bluffing – James Rickards, Greg Hunter Video",0
"https://www.activistpost.com/2017/09/new-documents-show-pentagon-is-shipping-billions-worth-of-weapons-to-terrorists-in-syria-trying-to-cover-its-tracks.html
","New Documents Show Pentagon Is Shipping Billions Worth Of Weapons To Terrorists In Syria, Trying To Cover Its Tracks",0
http://dailybuzzlive.com/mom-puts-glasses-baby-watch-face-sees-dad-first-time/,Mom Puts Glasses on Her Baby – Watch Her Face As She Sees Her Dad for the First Time,0
http://beforeitsnews.com/alternative/2017/10/bizarre-things-that-just-dont-make-sense-about-the-las-vegas-mass-shooting-false-flag-event-3558692.html,Bizarre Things That Just Don’t Make Sense About the Las Vegas Mass Shooting False Flag Event; Bizarre Things That Just Don’t Make Sense About The Las Vegas Mass Shooting False Flag Event,0
"https://www.nytimes.com/2017/10/06/arts/television/dynasty-reboot-cw.html?rref=collection%2Fsectioncollection%2Farts
","A ‘Dynasty’ for Generation ‘Gossip Girl’ (Mom Can Watch, Too)",1
"https://www.nytimes.com/2017/10/10/business/media/disney-hillary-clinton-and-the-obamas-condemn-weinstein.html?rref=collection%2Fsectioncollection%2Fpolitics
","Disney, Hillary Clinton and the Obamas Condemn Weinstein",1
"https://www.nytimes.com/2017/10/11/arts/macarthur-fellows-winners.html?rref=collection%2Fsectioncollection%2Farts
",MacArthur Foundation Fellows: Winners List,1
"http://www.bbc.com/sport/golf/41549025
",Safeway Open: Brendan Steele wins title for second year in succession,1
"http://beforeitsnews.com/sports/2017/10/lawrence-thomas-officially-makes-switch-to-fullback-2701946.html

",Lawrence Thomas Officially Makes Switch to Fullback,0
"http://www.cnn.com/videos/us/2017/10/05/cnn-heroes-patel-extra.cnn
",CNN Hero Mona Patel: Sparkle Twins,1
"http://beforeitsnews.com/u-s-politics/2017/10/las-vegas-shooting-makes-country-guitarist-change-his-mind-on-guns-2537201.html
",Las Vegas Shooting Makes Country Guitarist Change His Mind On Guns,0
"https://www.reuters.com/article/us-netflix-canada/netflix-fends-off-criticism-over-canada-investment-idUSKBN1CF18Z
",Netflix fends off criticism over Canada investment,1
http://www.disclose.tv/news/huge_triangle_shadow_in_the_sky_in_louisiana/140427,Huge Triangle Shadow In The Sky In Louisiana,0
"https://www.nytimes.com/2017/10/11/world/africa/kenya-election-kenyatta-odinga.html?rref=collection%2Fsectioncollection%2Fworld
",Kenyan Election Officials Open New Vote to All Original Candidates,1
